"full_name","a","e","i","om","w","q","ad","per.y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H"
"       (2014 HH196)",1.397,0.4414,0.91,247.96,51.26,0.781,2.01,1.65,2,9,22,,,28.20
"       (2014 HJ196)",1.387,0.4726,3.01,217.66,82.95,0.731,2.04,1.63,2,9,18,,,29.20
"       (2014 HK196)",2.159,0.5334,2.75,214.42,304.46,1.008,3.31,3.17,3,8,40,,,26.40
"       (2014 HL196)",1.458,0.2530,5.57,34.57,180.80,1.089,1.83,1.76,9,9,25,,,28.30
"       (2014 HM196)",0.8367,0.4744,16.93,210.73,195.08,0.440,1.23,0.765,2,9,14,,,25.90
"       (2014 HO196)",1.422,0.1819,5.43,202.31,0.99,1.164,1.68,1.7,1,9,30,,,25.60
"       (2014 HP196)",1.096,0.3071,18.42,37.64,41.62,0.759,1.43,1.15,2,9,28,,,25.20
"       (2014 HR196)",2.362,0.5217,3.37,39.29,181.75,1.130,3.59,3.63,2,9,30,,,27.10
"       (2014 HS196)",1.74,0.4919,1.09,190.91,91.65,0.884,2.60,2.3,2,9,24,,,27.50
"       (2014 HT196)",1.636,0.5288,8.31,49.24,39.52,0.771,2.50,2.09,3,9,25,,,22.70
"       (2014 HU196)",1.935,0.4214,2.94,205.96,22.31,1.120,2.75,2.69,1,9,18,,,27.00
"       (2014 HV196)",1.201,0.0943,9.26,212.40,42.31,1.088,1.31,1.32,3,9,24,,,26.70
"       (2014 HW196)",1.986,0.5413,14.25,34.18,99.36,0.911,3.06,2.8,2,9,26,,,25.60
"       (2014 HX196)",1.432,0.7169,24.56,31.65,317.87,0.405,2.46,1.71,2,9,24,,,24.20
"       (2014 HY196)",3.526,0.6560,42.31,33.11,81.82,1.213,5.84,6.62,1,9,20,,,21.10
"       (2014 HZ196)",2.761,0.5346,1.40,227.53,332.96,1.285,4.24,4.59,6,9,26,,,25.10
"       (2014 HA197)",1.344,0.1254,23.07,213.43,95.53,1.175,1.51,1.56,3,9,31,,,24.30
"       (2014 HB197)",1.246,0.2965,6.15,213.02,79.29,0.876,1.62,1.39,1,9,18,,,27.80
"       (2014 HC197)",1.688,0.2773,13.92,212.00,53.55,1.220,2.16,2.19,6,9,41,,,23.20
"       (2014 HD197)",2.34,0.5463,0.97,137.62,38.82,1.062,3.62,3.58,2,9,20,,,26.30
"       (2014 HE197)",2.118,0.5780,3.17,185.38,102.38,0.894,3.34,3.08,2,9,16,,,25.70
"       (2014 HG197)",1.342,0.1632,9.10,43.56,135.17,1.123,1.56,1.56,1,9,14,,,25.80
